Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
SMR_VSA10,21.835159051210752,27.700108659457328,22.500677879214848,27.472562377482262,-7.6982904446055205,3.3280146109135394e-14,goed verschilletje hiero,74,woow,61
SMR_VSA2,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
SMR_VSA3,9.363197413124007,8.320148368693644,9.56900162290494,5.371290000558358,2.139918465819222,0.03260379223023051,goed verschilletje hiero,74,nope,61
SMR_VSA4,1.729973049678099,1.9704007755704316,0.0,0.0,-1.0397238501048682,0.29872650605200335,"nope, deze niet",74,nope,61
SMR_VSA5,20.92689522350067,20.773879231174686,18.88348407499998,18.91454685430015,0.14590753730449024,0.8840241741107557,"nope, deze niet",74,nope,61
SMR_VSA6,15.425326975843744,16.717240176226912,13.08951281182515,13.151638370425493,-1.4634744295865065,0.14365470269987796,"nope, deze niet",74,nope,61
SMR_VSA7,49.28788411104655,52.12381554480329,50.24036204814134,52.4005123843042,-1.9716135070910237,0.04893016948023608,goed verschilletje hiero,74,nope,61
SMR_VSA8,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
SMR_VSA9,5.003151936391273,5.014018168483851,5.687386274683562,5.401253296613055,-0.026387127077339496,0.9789538634304059,"nope, deze niet",74,nope,61
SlogP_VSA1,9.20389900879476,9.678751522166385,10.05365155780638,9.799819461700956,-1.1940863517979525,0.23272935478560913,"nope, deze niet",74,nope,61
SlogP_VSA10,4.9699981717851465,5.317412746054192,5.131558479839333,5.687386274683562,-0.9735368318400673,0.330525333686026,"nope, deze niet",74,nope,61
SlogP_VSA11,2.5922635268980847,3.13366349873938,0.0,0.0,-1.8605471523042336,0.0631084288468568,"nope, deze niet",74,nope,61
SlogP_VSA12,5.927591091686825,8.665236256763926,0.0,11.336785877934737,-4.900188517007128,1.1191014203086479e-06,goed verschilletje hiero,74,woow,61
SlogP_VSA2,31.128425173822396,32.7494718944986,28.606697354835852,31.261261718425377,-1.5089736409616494,0.13162329604732892,"nope, deze niet",74,nope,61
SlogP_VSA3,10.211967733879684,10.299957962007568,9.53140013787187,9.589074368143644,-0.1685092756274831,0.8662168938553044,"nope, deze niet",74,nope,61
SlogP_VSA4,5.743579682199751,5.756654956350964,5.817220841045895,0.0,-0.02832160886827208,0.9774113947412033,"nope, deze niet",74,nope,61
SlogP_VSA5,21.906825687971562,22.838181593243295,19.343368755546244,20.715977351537635,-0.9314185193751883,0.3518646505316293,"nope, deze niet",74,nope,61
SlogP_VSA6,40.05662633143165,43.15404369728317,41.34325691274769,43.811139178982785,-2.381401932081613,0.01743394188751072,goed verschilletje hiero,74,nope,61
SlogP_VSA7,0.5702672086763936,0.6171153559545655,0.0,0.0,-0.41592376593574965,0.6775580735915736,"nope, deze niet",74,nope,61
SlogP_VSA8,4.847692486700749,4.689353031844794,0.0,0.0,0.3485217106285851,0.7275224382629566,"nope, deze niet",74,nope,61
SlogP_VSA9,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
TPSA,71.66083213773314,77.40469999999996,69.29,76.845,-3.1513569784382227,0.0016737058504350652,goed verschilletje hiero,74,woow,61
EState_VSA1,6.788468108905637,7.905376920525813,4.923311048817671,5.625586319077987,-1.8643190128272735,0.06257390244925948,"nope, deze niet",74,nope,61
EState_VSA10,9.819195243042474,11.108773900373794,9.589074368143644,9.901064578912528,-2.9765762138066187,0.002985553680131786,goed verschilletje hiero,74,woow,61
EState_VSA11,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
EState_VSA2,13.534816039821571,14.720723982946717,11.890453176022207,11.8250857755129,-1.8429812190684607,0.06562965779427155,"nope, deze niet",74,nope,61
EState_VSA3,16.086745036287827,18.513072106323992,16.11555025138631,16.558619077482344,-3.102227115736592,0.0019751859078575708,goed verschilletje hiero,74,woow,61
EState_VSA4,17.53094842357238,18.503001562436364,16.466376423778055,16.466376423778055,-1.0453558341174332,0.2961157871398167,"nope, deze niet",74,nope,61
EState_VSA5,12.51292075468605,14.474736649863903,11.113383802032459,12.13273413692322,-2.4880980440603646,0.01300654336337243,goed verschilletje hiero,74,nope,61
EState_VSA6,17.220534423474056,18.32901535406152,16.018588813079923,17.097882119349432,-1.1524053359008222,0.24943245962570829,"nope, deze niet",74,nope,61
EState_VSA7,19.911139300564237,20.832428612657026,18.19910120538483,18.19910120538483,-0.7442788950652753,0.45688349999801614,"nope, deze niet",74,nope,61
EState_VSA8,14.750328238130928,13.589330374086204,11.008311194360452,10.633577208012662,1.5497787012903823,0.12151882193821588,"nope, deze niet",74,nope,61
EState_VSA9,7.227599334901051,8.405129127600915,4.736862953800049,5.497779515950336,-2.4478979949135233,0.014542327250406512,goed verschilletje hiero,74,nope,61
VSA_EState1,11.271805553692083,11.806956577009444,6.8296310748434665,6.335431171295489,-0.631199698364223,0.5280566951532629,"nope, deze niet",74,nope,61
VSA_EState10,1.3905327527779257,2.2869231897857074,0.0,1.193396907179487,-5.0898463410169175,4.305303723498966e-07,goed verschilletje hiero,74,woow,61
VSA_EState2,18.683669346698558,20.807016453120397,16.540727847719268,20.303260165513105,-2.712328656798079,0.006797178956078773,goed verschilletje hiero,74,woow,61
VSA_EState3,7.102135136586757,7.197088241467196,5.419289752866037,4.219822775704776,-0.2149724415518357,0.8298333493741326,"nope, deze niet",74,nope,61
VSA_EState4,1.8875381768802248,1.9171552230356668,1.5654560093219008,1.62330193008167,-0.23465039510820587,0.814529208045272,"nope, deze niet",74,nope,61
VSA_EState5,0.11324334276201287,0.10900518770515255,0.057583839231012235,0.01187321856850243,0.05919582925640113,0.9528082122621523,"nope, deze niet",74,nope,61
VSA_EState6,9.684937762235256,10.13107224873688,9.420565037013649,9.817460512064486,-1.1979131103111595,0.23123582998753991,"nope, deze niet",74,nope,61
VSA_EState7,1.7629770799362416,1.8607063410237539,1.3729269022423782,1.549458887132845,-0.6284804930920387,0.5298353660019639,"nope, deze niet",74,nope,61
VSA_EState8,2.8624174478730855,2.75407361431988,2.0962824727381006,2.1291542510826527,0.5909392131240472,0.5546964454581488,"nope, deze niet",74,nope,61
VSA_EState9,0.18268372408484998,0.13931581113750632,0.0,0.0,0.35630730278560657,0.7216871339552575,"nope, deze niet",74,nope,61
FractionCSP3,0.3092339598267392,0.28878799268117544,0.2916666666666667,0.2649122807017544,1.6852491809941605,0.09225533380623539,"nope, deze niet",74,nope,61
HeavyAtomCount,23.63948497854077,25.19333333333333,24.0,25.0,-4.146843936880821,3.6578251610200185e-05,goed verschilletje hiero,74,woow,61
NHOHCount,1.277056277056277,1.1879194630872483,1.0,1.0,1.3182652235966426,0.18772009912207935,"nope, deze niet",74,nope,61
NOCount,5.650429799426934,6.06,6.0,6.0,-2.991366763444181,0.0028457002438644534,goed verschilletje hiero,74,woow,61
NumAliphaticCarbocycles,0.10719530102790015,0.17346938775510204,0.0,0.0,-2.6894589272820064,0.007279250216273513,goed verschilletje hiero,74,woow,61
NumAliphaticHeterocycles,0.5028818443804035,0.5748299319727891,0.0,0.0,-1.6411606421642604,0.10108298634414878,"nope, deze niet",74,nope,61
NumAliphaticRings,0.6575144508670521,0.7993197278911565,1.0,1.0,-2.6787092594126602,0.007513900714833286,goed verschilletje hiero,74,woow,61
NumAromaticCarbocycles,1.2589413447782547,1.3466666666666667,1.0,1.0,-1.7236854523040683,0.0850746584540154,"nope, deze niet",74,nope,61
NumAromaticHeterocycles,0.8671428571428571,0.842809364548495,1.0,1.0,0.4308570705434516,0.6666654310494199,"nope, deze niet",74,nope,61
NumAromaticRings,2.121776504297994,2.2,2.0,2.0,-1.221767313075718,0.22208471784735795,"nope, deze niet",74,nope,61
NumHAcceptors,4.6552217453505005,5.096989966555184,5.0,5.0,-3.381444112269251,0.0007490843033727685,goed verschilletje hiero,74,woow,61
NumHDonors,1.1548480463096962,1.0942760942760943,1.0,1.0,1.0576245952137484,0.29048566626843,"nope, deze niet",74,nope,61
NumHeteroatoms,6.553802008608321,7.110367892976589,7.0,7.0,-3.730446442305902,0.0002019585120546843,goed verschilletje hiero,74,woow,61
NumRotatableBonds,4.577363896848137,4.866220735785953,4.0,5.0,-1.9371974197334103,0.05300397956018761,"nope, deze niet",74,nope,61
NumSaturatedCarbocycles,0.08695652173913043,0.10810810810810811,0.0,0.0,-0.9992680411231575,0.3179105254808129,"nope, deze niet",74,nope,61
NumSaturatedHeterocycles,0.3490701001430615,0.37583892617449666,0.0,0.0,-0.7038004001070863,0.4817217494980317,"nope, deze niet",74,nope,61
NumSaturatedRings,0.42358078602620086,0.5067567567567568,0.0,0.0,-1.9382244830077575,0.05288246374106124,"nope, deze niet",74,nope,61
RingCount,2.8011527377521612,3.057046979865772,3.0,3.0,-3.77460087643546,0.00016979342759403275,goed verschilletje hiero,74,woow,61
MolLogP,2.500745230547549,2.759688187919463,2.64462,2.817270000000001,-2.881879177438939,0.004038525420704463,goed verschilletje hiero,74,woow,61
MolMR,90.24316742857138,96.65630900000004,90.13640000000005,97.52065000000002,-4.535445791106333,6.446059995554822e-06,goed verschilletje hiero,74,woow,61
fr_Al_COO,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Al_OH,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Al_OH_noTert,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_ArN,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Ar_COO,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Ar_N,1.2367288378766141,1.0,1.0,0.0,2.481405856355664,0.01325142755458474,goed verschilletje hiero,74,nope,61
fr_Ar_NH,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Ar_OH,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_COO,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_COO2,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_C_O,1.0549927641099854,1.2233333333333334,1.0,1.0,-2.830153301794418,0.004746766428707125,goed verschilletje hiero,74,woow,61
fr_C_O_noCOO,1.0549927641099854,1.2233333333333334,1.0,1.0,-2.830153301794418,0.004746766428707125,goed verschilletje hiero,74,woow,61
fr_C_S,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_HOCCN,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Imine,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_NH0,1.8082975679542204,1.859531772575251,2.0,2.0,-0.5187750755946479,0.6040328389162994,"nope, deze niet",74,nope,61
fr_NH1,0.9380403458213257,0.9130434782608695,1.0,1.0,0.46987958162675064,0.638544429884496,"nope, deze niet",74,nope,61
fr_NH2,0.0776978417266187,0.0,0.0,0.0,4.843102056259928,1.4866294388499789e-06,goed verschilletje hiero,74,woow,61
fr_N_O,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Ndealkylation1,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Ndealkylation2,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_Nhpyrrole,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_SH,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_aldehyde,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_alkyl_carbamate,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_alkyl_halide,0.016200294550810016,0.027586206896551724,0.0,0.0,-0.9437601784419485,0.3455279452583546,"nope, deze niet",74,nope,61
fr_allylic_oxid,0.036390101892285295,0.11784511784511785,0.0,0.0,-4.363233674121263,1.4170532511884724e-05,goed verschilletje hiero,74,woow,61
fr_amide,0.8219971056439942,0.8338983050847457,1.0,1.0,-0.2102263560375716,0.8335345311300595,"nope, deze niet",74,nope,61
fr_amidine,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_aniline,0.5347826086956522,0.6394557823129252,0.0,1.0,-2.288716470568793,0.02230745975402377,goed verschilletje hiero,74,nope,61
fr_aryl_methyl,0.44052863436123346,0.3885135135135135,0.0,0.0,1.1381394568573244,0.25534184282653066,"nope, deze niet",74,nope,61
fr_azide,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_azo,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_barbitur,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
