Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,p-value
SMR_VSA10,21.83333014181261,27.69497958222963,22.500677879214848,27.472562377482262,3.422196326489934e-14
SlogP_VSA12,5.927591091686825,8.664268876463362,0.0,11.336785877934737,1.1282837679031812e-06
TPSA,71.66083213773314,77.40469999999996,69.29,76.845,0.0016737058504350652
EState_VSA1,110.73507838071457,116.38514522770897,111.09404220959662,116.44553307160734,0.008381802136095124
EState_VSA10,9.307732967660755,10.595033377176124,9.589074368143644,9.589074368143644,0.0025346710282486036
EState_VSA2,5.041124522463392,6.962969380487862,4.567099647791355,4.899909730850478,3.9114790574398086e-05
EState_VSA3,0.4312498914094416,0.8441969500554167,0.0,0.0,0.002427333272893769
VSA_EState10,0.906914354525697,1.5877913455879085,0.0,0.0,3.8512466512070056e-05
HeavyAtomCount,23.63948497854077,25.19333333333333,24.0,25.0,3.6578251610200185e-05
NOCount,5.650429799426934,6.06,6.0,6.0,0.0028457002438644534
NumAliphaticCarbocycles,0.10719530102790015,0.17346938775510204,0.0,0.0,0.007279250216273513
NumAliphaticRings,0.6575144508670521,0.7993197278911565,1.0,1.0,0.007513900714833286
NumHAcceptors,4.6552217453505005,5.107023411371237,5.0,5.0,0.0005590643986946533
NumHeteroatoms,6.553802008608321,7.110367892976589,7.0,7.0,0.0002019585120546843
RingCount,2.8011527377521612,3.057046979865772,3.0,3.0,0.00016979342759403275
MolLogP,2.500745230547549,2.759688187919463,2.64462,2.817270000000001,0.004038525420704463
MolMR,90.24316742857138,96.65630900000004,90.13640000000005,97.52065000000002,6.446059995554822e-06
fr_C_O,1.0549927641099854,1.2233333333333334,1.0,1.0,0.004746766428707125
fr_C_O_noCOO,1.0549927641099854,1.2233333333333334,1.0,1.0,0.004746766428707125
fr_NH2,0.0776978417266187,0.0,0.0,0.0,1.4866294388499789e-06
fr_allylic_oxid,0.036390101892285295,0.11784511784511785,0.0,0.0,1.4170532511884724e-05
fr_furan,0.0,0.12080536912751678,0.0,0.0,2.0162462396573806e-20
fr_imide,0.0,0.06734006734006734,0.0,0.0,8.134794358273852e-12
fr_ketone,0.0,0.12162162162162163,0.0,0.0,2.0464961798426686e-20
fr_ketone_Topliss,0.0,0.10810810810810811,0.0,0.0,2.9265573911039376e-18
fr_methoxy,0.1774436090225564,0.2895622895622896,0.0,0.0,0.0003225480912297317
fr_nitro,0.0,0.11784511784511785,0.0,0.0,8.263931721541658e-20
fr_nitro_arom,0.0,0.08754208754208755,0.0,0.0,4.1787046383037256e-15
fr_piperdine,0.07225433526011561,0.0,0.0,0.0,3.381950450939285e-06
fr_thiophene,0.0,0.11,0.0,0.0,1.5830893026287901e-18
inertialShapeFactors,0.0010696423087508144,0.0008330240909510126,0.0009506357704501664,0.0007298487060254862,1.2712635493010897e-08
PMI1s,1147.5147978544383,1390.4818865284808,976.8172764377309,1235.6303197491522,1.184240826787628e-06
PMI2s,5619.372101041085,6206.151606616545,5067.048813747031,5514.299556479031,0.008585401408612445
PMI3s,6285.102361621481,7028.136757502013,5690.044538026469,6441.385368226703,0.001617084686623125
