Descriptor,mean_non_inhibitors,mean_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance
NumHeteroatoms,6.591428571428572,7.136666666666667,-3.557674836001996,0.00039174359889338606,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
NumRotatableBonds,4.6,4.89,-1.9147811411679188,0.05580606710865167,"nope, deze niet",54,nope
NumSaturatedCarbocycles,0.12714285714285714,0.17333333333333334,-1.24892256670603,0.21198626213842417,"nope, deze niet",54,nope
NumSaturatedHeterocycles,0.35285714285714287,0.39666666666666667,-1.1080117368955205,0.268123705764254,"nope, deze niet",54,nope
NumSaturatedRings,0.48,0.57,-1.6873424454750983,0.09185000305917376,"nope, deze niet",54,nope
RingCount,2.83,3.0866666666666664,-3.6149826081175394,0.00031537718027324846,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
MolLogP,2.451640557142855,2.7334459999999994,-2.958445125117995,0.0031649005605794227,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
MolMR,90.24316742857138,96.65630900000004,-4.535445791106333,6.446059995554822e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_Al_COO,0.03142857142857143,0.03,0.11209628391066309,0.910769605240328,"nope, deze niet",54,nope
fr_Al_OH,0.055714285714285716,0.04,0.8577215692969482,0.39125215606585173,"nope, deze niet",54,nope
fr_Al_OH_noTert,0.04285714285714286,0.03,0.8370691449349317,0.40275409828070985,"nope, deze niet",54,nope
fr_ArN,0.04,0.04666666666666667,-0.43948093141722044,0.6604082391064579,"nope, deze niet",54,nope
fr_Ar_COO,0.017142857142857144,0.013333333333333334,0.43957208797050484,0.660342225733942,"nope, deze niet",54,nope
fr_Ar_N,1.2571428571428571,1.0666666666666667,1.9304563418598037,0.05383337336487377,"nope, deze niet",54,nope
fr_Ar_NH,0.06714285714285714,0.06,0.4063301909893084,0.6845871172862263,"nope, deze niet",54,nope
fr_Ar_OH,0.07142857142857142,0.06333333333333334,0.4244779642942421,0.6713087605296011,"nope, deze niet",54,nope
fr_COO,0.04857142857142857,0.043333333333333335,0.33649573342886996,0.7365678087056575,"nope, deze niet",54,nope
fr_COO2,0.04857142857142857,0.043333333333333335,0.33649573342886996,0.7365678087056575,"nope, deze niet",54,nope
fr_C_O,1.0971428571428572,1.2233333333333334,-2.005909698311782,0.04513538704636402,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
fr_C_O_noCOO,1.0971428571428572,1.2233333333333334,-2.005909698311782,0.04513538704636402,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
fr_C_S,0.027142857142857142,0.08,-3.7089922613242057,0.00021955756027164814,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_HOCCN,0.0,0.0,,,"nope, deze niet",54,nope
fr_Imine,0.025714285714285714,0.02,0.5188878533137451,0.603953984784973,"nope, deze niet",54,nope
fr_NH0,1.8157142857142856,1.8766666666666667,-0.6107103941037615,0.541530376875978,"nope, deze niet",54,nope
fr_NH1,0.9642857142857143,0.9233333333333333,0.734596626459338,0.4627577571645378,"nope, deze niet",54,nope
fr_NH2,0.09285714285714286,0.07,1.0880263397139827,0.27684616071996493,"nope, deze niet",54,nope
fr_N_O,0.008571428571428572,0.006666666666666667,0.2335922435555525,0.8153494543950877,"nope, deze niet",54,nope
fr_Ndealkylation1,0.041428571428571426,0.04,0.09507384666233895,0.9242752566847283,"nope, deze niet",54,nope
fr_Ndealkylation2,0.06857142857142857,0.05333333333333334,0.83465329647728,0.40411269038721365,"nope, deze niet",54,nope
fr_Nhpyrrole,0.06714285714285714,0.06,0.4063301909893084,0.6845871172862263,"nope, deze niet",54,nope
fr_SH,0.0,0.01,-2.6564197064028976,0.008023528005589359,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_aldehyde,0.002857142857142857,0.01,-1.4676364790139194,0.14251806163169203,"nope, deze niet",54,nope
fr_alkyl_carbamate,0.012857142857142857,0.006666666666666667,0.7899391417818946,0.4297509566352352,"nope, deze niet",54,nope
fr_alkyl_halide,0.12,0.12,0.0,1.0,"nope, deze niet",54,nope
fr_allylic_oxid,0.07857142857142857,0.16333333333333333,-2.6180930191677487,0.008976179488772527,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_amide,0.8642857142857143,0.8866666666666667,-0.36264607495941703,0.7169460716074962,"nope, deze niet",54,nope
fr_amidine,0.025714285714285714,0.043333333333333335,-1.426461831826845,0.15404782009609533,"nope, deze niet",54,nope
fr_aniline,0.5728571428571428,0.69,-2.3218925929838776,0.020439241411141017,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
