Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic Mean,p-value Mean,T-Statistic Median,p-value Median,Significance Mean,p-value < 0.05 Count,Super_Significance Mean,p-value < 0.01 Count,Significance Median
EState_VSA6,14.735491735679911,17.217046260478686,12.13273413692322,13.847474399381248,-3.841589370414741,0.00012605339033868742,-3.841589370414741,0.00012605339033868742,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA7,22.949125230956167,19.430719678517406,21.587795952773448,15.273654092047911,3.8652918814848447,0.00011449989052201396,3.8652918814848447,0.00011449989052201396,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA8,17.896954790467028,14.13773830808459,15.256677831976177,10.633577208012662,5.855065783774563,5.560944445952915e-09,5.855065783774563,5.560944445952915e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA9,8.631584128432223,7.48537949365197,5.733667477162185,4.736862953800049,2.8186774983849583,0.004869696564246187,2.8186774983849583,0.004869696564246187,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState1,10.745840989353841,11.418524515126471,5.582597198601663,5.592677744708995,-0.995852997775752,0.31944216359344724,-0.995852997775752,0.31944216359344724,"nope, deze niet",127,nope,127,"nope, deze niet"
VSA_EState10,2.632576164698357,2.118586209601043,0.12150649302931038,0.872152087662107,2.8126621958304407,0.004961350616831098,2.8126621958304407,0.004961350616831098,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState2,12.338914732033565,21.97907485515363,9.324043839758126,22.151426207744596,-17.422983747891855,2.1115441757508942e-63,-17.422983747891855,2.1115441757508942e-63,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState3,6.81450333150397,7.973552451715325,5.009050086083816,5.365959130276844,-3.5588573941371466,0.00038116517659770915,-3.5588573941371466,0.00038116517659770915,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState4,2.634351261982905,2.218943646708165,1.933360711905293,1.7324739392020558,3.3551086778289596,0.0008081787144077644,3.3551086778289596,0.0008081787144077644,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState5,0.4560611463614425,-0.02292321441099378,0.4201934066147635,-0.01750608590081526,6.779451234103151,1.5827757448146803e-11,6.779451234103151,1.5827757448146803e-11,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState6,10.749118150719127,8.98015347487778,10.280790175166077,8.233695496987268,6.310138208183563,3.4240433685926007e-10,6.310138208183563,3.4240433685926007e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState7,1.776398302538007,2.53862772653929,1.500185237045148,1.939315690922192,-5.765316511543347,9.421098719398243e-09,-5.765316511543347,9.421098719398243e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState8,1.678232515185456,3.1394165357621175,0.5887448428445452,2.6522364606113493,-11.726223510633789,9.289986211707204e-31,-11.726223510633789,9.289986211707204e-31,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
VSA_EState9,0.12697933154925672,-0.07431175662837451,0.0,0.0,2.5937028787610794,0.009564204577225502,2.5937028787610794,0.009564204577225502,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
FractionCSP3,0.21298175410353093,0.33996510177017714,0.15,0.3333333333333333,-13.196840895293949,3.449471086200675e-38,-13.196840895293949,3.449471086200675e-38,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
HeavyAtomCount,20.97142857142857,24.663333333333334,21.0,25.0,-14.070303367563955,6.044585648826522e-43,-14.070303367563955,6.044585648826522e-43,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NHOHCount,1.2842857142857143,1.1683333333333332,1.0,1.0,2.0461362456418164,0.040873618434755725,2.0461362456418164,0.040873618434755725,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,nope,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NOCount,4.691428571428571,5.82,4.0,6.0,-11.547625969159576,6.598916385383447e-30,-11.547625969159576,6.598916385383447e-30,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumAliphaticCarbocycles,0.08857142857142856,0.4,0.0,0.0,-11.917825803817799,1.1018397712011631e-31,-11.917825803817799,1.1018397712011631e-31,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
