Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic Mean,p-value Mean,T-Statistic Median,p-value Median,Significance Mean,p-value < 0.05 Count,Super_Significance Mean,p-value < 0.01 Count,Significance Median
MaxAbsEStateIndex,9.555998051406386,12.143157162993482,11.533411399281935,12.464132689936223,-17.587945720977174,1.7128724085200004e-64,-17.587945720977174,1.7128724085200004e-64,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MaxEStateIndex,9.555998051406386,12.143157162993482,11.533411399281935,12.464132689936223,-17.587945720977174,1.7128724085200004e-64,-17.587945720977174,1.7128724085200004e-64,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MinAbsEStateIndex,0.3157340373827791,0.12482244253706246,0.22014220888972857,0.08195318405139851,15.98551876805666,3.2041189710958965e-54,15.98551876805666,3.2041189710958965e-54,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MinEStateIndex,-0.517136979235451,-1.1068264420001983,-0.18140520225792578,-0.5215350645793467,8.12954511432662,7.475562798216435e-16,8.12954511432662,7.475562798216435e-16,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
qed,0.6703888149701986,0.6247374477794934,0.6946846764950516,0.6311732045109664,5.9956003238727895,2.3996360692536675e-09,5.9956003238727895,2.3996360692536675e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MolWt,300.1419892857139,355.5963849999999,293.30350000000004,353.6585000000001,-15.138550146302686,4.282242443190429e-49,-15.138550146302686,4.282242443190429e-49,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
HeavyAtomMolWt,285.12638928571397,335.73038500000007,279.448,333.9815000000001,-14.585408796287227,7.258160072867311e-46,-14.585408796287227,7.258160072867311e-46,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
ExactMolWt,299.7362202980963,355.1758510157324,293.01562072800004,353.141222320045,-15.14961654170272,3.682137557835462e-49,-15.14961654170272,3.682137557835462e-49,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumValenceElectrons,108.01142857142857,129.65,106.0,128.0,-15.594670832308415,7.907676656830524e-52,-15.594670832308415,7.907676656830524e-52,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumRadicalElectrons,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
MaxPartialCharge,0.24311797086901452,0.27467467414909663,0.24268630014012016,0.2697114857559849,-7.655029435820696,2.9882783363216203e-14,-7.655029435820696,2.9882783363216203e-14,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MinPartialCharge,-0.4008522318592274,-0.44098182914981415,-0.38332310040016704,-0.46230045291351873,8.24833784337583,2.877181398638298e-16,8.24833784337583,2.877181398638298e-16,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MaxAbsPartialCharge,0.408205383143297,0.4428238570949579,0.40059408115257933,0.4623050705537949,-7.397066014454355,2.0385549882122477e-13,-7.397066014454355,2.0385549882122477e-13,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MinAbsPartialCharge,0.23576481958494488,0.272832646203953,0.24055697068515128,0.26896999970108504,-9.813424667713903,3.1062995892977454e-22,-9.813424667713903,3.1062995892977454e-22,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
FpDensityMorgan1,1.1020133023010381,1.1817368649165207,1.105263157894737,1.173913043478261,-8.19869153827132,4.2947140026715415e-16,-8.19869153827132,4.2947140026715415e-16,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
FpDensityMorgan2,1.8399392899318598,1.8794611048121848,1.8681159420289855,1.8846153846153846,-3.0175973420024915,0.0025800577916092254,-3.0175973420024915,0.0025800577916092254,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
FpDensityMorgan3,2.523283891527653,2.521493041486879,2.5625,2.543560606060606,0.10886932742850466,0.9133170673362303,0.10886932742850466,0.9133170673362303,"nope, deze niet",127,nope,127,"nope, deze niet"
BCUT2D_MWHI,26.896309426786164,29.6186955310451,32.13347379214538,32.13357015582955,-4.362594758051908,1.3507690941093158e-05,-4.362594758051908,1.3507690941093158e-05,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BCUT2D_MWLOW,10.15265406430984,10.035028220784113,10.163458122848395,10.071980041543647,14.239793491841857,6.756546753017854e-44,14.239793491841857,6.756546753017854e-44,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BCUT2D_CHGHI,2.158104780694852,2.2770414319937524,2.123977725888393,2.2695831776969047,-17.273420934996604,2.0283921201341976e-62,-17.273420934996604,2.0283921201341976e-62,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BCUT2D_CHGLO,-2.107766072216436,-2.2081360232506717,-2.0790109035192694,-2.2068831545201277,16.129195759723167,4.11974418991024e-55,16.129195759723167,4.11974418991024e-55,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BCUT2D_LOGPHI,2.2414672172600034,2.2993622932844255,2.237167547336961,2.2938554469866252,-11.425784892092064,2.4768003295161639e-29,-11.425784892092064,2.4768003295161639e-29,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BCUT2D_LOGPLOW,-2.2177152665546975,-2.3945437088967214,-2.1291902753538063,-2.349242526393441,11.442291671482947,2.0719416414102025e-29,11.442291671482947,2.0719416414102025e-29,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BCUT2D_MRHI,6.662582101552702,7.092860123759879,6.303933188107755,7.163175238956759,-8.46790977991838,4.7660304371750714e-17,-8.46790977991838,4.7660304371750714e-17,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BCUT2D_MRLOW,0.17792107902733534,-0.16478582828723976,0.09548016259532116,-0.13151599899312508,13.556673450932804,4.060495777764523e-40,13.556673450932804,4.060495777764523e-40,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
AvgIpc,2.766876934110227,2.8604642845762274,2.772509823161049,2.8366486918587848,-5.792639295170775,8.030506020418832e-09,-5.792639295170775,8.030506020418832e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BalabanJ,1.964995153381283,1.903316146503427,1.8904201513959158,1.8348766028161085,3.196549045962992,0.0014125503354939634,3.196549045962992,0.0014125503354939634,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
BertzCT,701.9362192823481,803.0523247600192,680.3974310646324,784.6853577299735,-8.199254974292055,4.2752866731927415e-16,-8.199254974292055,4.2752866731927415e-16,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi0,14.83116481126404,17.70155352772548,14.493353063746348,17.78920527175712,-15.405073885022418,1.1016063280699553e-50,-15.405073885022418,1.1016063280699553e-50,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi0n,11.496916072677132,13.917578295871227,11.192502169590487,13.834350533085827,-15.705091946045611,1.6857819652308374e-52,-15.705091946045611,1.6857819652308374e-52,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi0v,12.143784481255224,14.653769844068044,11.8202365482081,14.603964659239551,-16.353423911518814,1.6311072620330743e-56,-16.353423911518814,1.6311072620330743e-56,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi1,10.150452538444938,11.829817344818338,9.915816237971965,11.746876081965699,-13.273215445738927,1.354776877438597e-38,-13.273215445738927,1.354776877438597e-38,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi1n,6.624729193012031,8.044961519016868,6.423668117279698,7.958600336156028,-15.169308836996079,2.814006136741903e-49,-15.169308836996079,2.814006136741903e-49,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi1v,7.217339418808186,8.793919840156121,6.957172014686218,8.6695647443908,-15.871590633390822,1.6134491781384345e-53,-15.871590633390822,1.6134491781384345e-53,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi2n,4.763222694029117,6.034364996122545,4.577941753554704,5.966120755252881,-16.425995502769272,5.694542848824501e-57,-16.425995502769272,5.694542848824501e-57,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi2v,5.429853831717968,6.900687371268234,5.148938573498237,6.8152550239493035,-16.951447268331528,2.5187404124934483e-60,-16.951447268331528,2.5187404124934483e-60,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi3n,3.2374275849068863,4.217525752815631,3.059348050541367,4.1179387995247065,-16.144274896748552,3.3191184625416296e-55,-16.144274896748552,3.3191184625416296e-55,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi3v,3.8003162271357653,4.990379864922887,3.5257900488537084,4.860402920904038,-16.82429311284412,1.6600347868373202e-59,-16.82429311284412,1.6600347868373202e-59,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi4n,2.1808729003151317,2.930686302485569,1.9962036642398249,2.799893137763954,-15.527032364743969,2.0295919742799072e-51,-15.527032364743969,2.0295919742799072e-51,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Chi4v,2.6298462760181103,3.571440462073278,2.413008333311338,3.4678182537803095,-16.53745281499014,1.1235162300266129e-57,-16.53745281499014,1.1235162300266129e-57,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
HallKierAlpha,-2.2269714285714266,-2.3907666666666714,-2.26,-2.369999999999999,4.069372139104872,4.897400699643882e-05,4.069372139104872,4.897400699643882e-05,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Ipc,6717558.0386468265,9639329.61476112,72710.95914253028,418148.13900832995,-0.9089947769549065,0.36346251501241367,-0.9089947769549065,0.36346251501241367,"nope, deze niet",127,nope,127,"nope, deze niet"
Kappa1,14.073629133653835,17.25410256523657,13.514985773746435,17.263118416768215,-16.35847686677959,1.516040515941052e-56,-16.35847686677959,1.516040515941052e-56,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Kappa2,6.106684932187993,7.278299306190361,5.835952733163515,7.333980035315541,-12.087071503885543,1.635354873284597e-32,-12.087071503885543,1.635354873284597e-32,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
Kappa3,3.3163396397394918,3.8252524982646334,3.043891499604909,3.7458958037259023,-5.748821235928736,1.037121047002823e-08,-5.748821235928736,1.037121047002823e-08,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
LabuteASA,125.08259293982346,147.1826447508717,122.42115578918053,147.31946538174782,-14.773040829323165,5.9723011494034e-47,-14.773040829323165,5.9723011494034e-47,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
PEOE_VSA1,8.979265051160851,11.41438388458291,9.401129458000556,10.05365155780638,-7.8192515583545825,8.530825494080052e-15,-7.8192515583545825,8.530825494080052e-15,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
PEOE_VSA10,7.957951475403911,7.284845859845263,5.817862777835028,5.749511833283905,1.9200604925384306,0.05499248629638542,1.9200604925384306,0.05499248629638542,"nope, deze niet",127,nope,127,"nope, deze niet"
PEOE_VSA11,3.9166489875755284,4.492601392008451,0.0,0.0,-2.2374288712114705,0.025368180304214786,-2.2374288712114705,0.025368180304214786,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,nope,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
PEOE_VSA12,3.6021463462628183,4.579781626655347,0.0,0.0,-3.8137846554162884,0.00014100710613802712,-3.8137846554162884,0.00014100710613802712,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
PEOE_VSA13,2.295595925731511,3.787648615432533,0.0,0.0,-7.6253424115404504,3.738654810464489e-14,-7.6253424115404504,3.738654810464489e-14,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
PEOE_VSA14,1.739166972065094,2.487463363599032,0.0,0.0,-4.257083033601035,2.167044248432125e-05,-4.257083033601035,2.167044248432125e-05,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
PEOE_VSA2,4.789602719879223,8.490206395643119,4.794537184071822,9.278434311098396,-13.262221981667516,1.5502823997069656e-38,-13.262221981667516,1.5502823997069656e-38,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
PEOE_VSA3,5.2672648175069705,4.933261260417893,4.794537184071822,4.794537184071822,1.3333205709981595,0.1825786186713685,1.3333205709981595,0.1825786186713685,"nope, deze niet",127,nope,127,"nope, deze niet"
PEOE_VSA4,3.1721787115445053,2.311466843893895,0.0,0.0,3.638192274292863,0.00028152323942354923,3.638192274292863,0.00028152323942354923,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
PEOE_VSA5,3.5313794200588116,2.711523813114782,0.0,0.0,2.954089648317093,0.0031725742665672284,2.954089648317093,0.0031725742665672284,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
