Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
BCUT2D_MRHI,1.5506535359910758,1.730269515897359,1.7523403406099543,1.9778874203722103,-2.3392523523296873,0.01951885905240539,goed verschilletje hiero,82,nope,60
BCUT2D_MRLOW,-1.1030252053973642,-1.0567960785166828,-1.0504293773356195,-1.0354632233512486,-2.5036942286385417,0.012449790162191578,goed verschilletje hiero,82,nope,60
AvgIpc,3.028787923539242,3.081158009792589,3.0123430021915785,3.0570774039873005,-2.716233079517737,0.006717199063622993,goed verschilletje hiero,82,woow,60
BalabanJ,2.544517600005456,2.4546552898177865,2.480871266873941,2.3696062744455775,2.7462535038136386,0.006138329575890246,goed verschilletje hiero,82,woow,60
BertzCT,1508.3863886110953,1613.910913685258,1507.9677087156804,1606.864445907139,-3.414215872819706,0.000665493916697891,goed verschilletje hiero,82,woow,60
Chi0,33.17432086688008,34.626444449002584,33.09097545816254,34.422543811570804,-2.516221508926618,0.012018466788195396,goed verschilletje hiero,82,nope,60
Chi0n,30.01362717607605,30.983127752810454,29.710923771927643,31.013599253391423,-1.751733097391054,0.08012840092206956,"nope, deze niet",82,nope,60
Chi0v,11.911155597403509,12.839165948445219,11.889792788551164,12.863399586301142,-4.964120923074061,8.112250266693493e-07,goed verschilletje hiero,82,woow,60
Chi1,18.792541496776604,19.72678764586731,18.76441398355943,19.640499080864828,-2.9965637070114752,0.002798208029109745,goed verschilletje hiero,82,woow,60
Chi1n,15.219176578192727,15.75171513376526,15.11515359268211,15.642878693686626,-1.8852635765080297,0.059686023612261996,"nope, deze niet",82,nope,60
Chi1v,6.509091948218698,7.096412653012322,6.419297293139422,7.094116600873375,-5.153050876901342,3.088824538365093e-07,goed verschilletje hiero,82,woow,60
Chi2n,3.9637324739843405,4.272614753948829,3.9317444756602784,4.223750355716321,-4.3420879026413495,1.5557494560820208e-05,goed verschilletje hiero,82,woow,60
Chi2v,4.551649067055115,5.065453544872934,4.46831078801956,4.930906115407993,-5.578501991427688,3.126941385573689e-08,goed verschilletje hiero,82,woow,60
Chi3n,2.4788734326724433,2.7221699891374147,2.453577393151826,2.705249146536588,-4.749007459268179,2.3444526895102577e-06,goed verschilletje hiero,82,woow,60
Chi3v,2.920973332566279,3.3643930379770217,2.849661989597091,3.3263469666816903,-6.496627411574159,1.2981275569865793e-10,goed verschilletje hiero,82,woow,60
Chi4n,1.5243180957829436,1.6892200229221839,1.4846418689047818,1.6693988130688378,-4.564928348275252,5.623908360486111e-06,goed verschilletje hiero,82,woow,60
Chi4v,1.8414320775710757,2.1809756006673715,1.7722667450066312,2.128911761972857,-6.944913948304602,6.857371210904806e-12,goed verschilletje hiero,82,woow,60
HallKierAlpha,-2.392568149210901,-2.5278999999999994,-2.3699999999999997,-2.475,2.4616863831981552,0.013997272520148072,goed verschilletje hiero,82,nope,60
Ipc,3135536451447.3315,369811294500.17096,319400967.43939453,643819261.7103457,1.3901897761440998,0.16478215443539623,"nope, deze niet",82,nope,60
Kappa1,5.095847692065466,5.672937202348358,5.016037169237807,5.61644406276403,-5.422775795402894,7.368379346207184e-08,goed verschilletje hiero,82,woow,60
Kappa2,7.017245740484674,7.390268672462397,6.950809347206228,7.432858822488666,-2.783347171757093,0.005481917258999397,goed verschilletje hiero,82,woow,60
Kappa3,3.7380286667886766,3.7982999161874034,3.635070915601867,3.738032459948628,-0.6819892376127152,0.49540511470025106,"nope, deze niet",82,nope,60
LabuteASA,166.66888718067864,177.0048417747729,167.1073149937912,176.857957081395,-3.9910527748274722,7.060538688641286e-05,goed verschilletje hiero,82,woow,60
PEOE_VSA1,11.333191989441076,11.346794874396812,10.195772582702942,10.046676307088426,-0.03131764754110464,0.975022516244334,"nope, deze niet",82,nope,60
PEOE_VSA10,7.968112688490555,8.416332396467412,5.824404497999927,5.955925076856362,-0.9643149793721109,0.3351239964328411,"nope, deze niet",82,nope,60
PEOE_VSA11,5.620811224740043,6.149660369117531,4.235526234984602,5.697039313055833,-1.3711202200569192,0.17064726390023477,"nope, deze niet",82,nope,60
PEOE_VSA12,4.240035125330072,4.356045071102498,1.4311996572326342,0.0,-0.3207819648618653,0.7484436710446349,"nope, deze niet",82,nope,60
PEOE_VSA13,3.669013453035371,4.455100658236773,1.4311996572326342,5.559266895052008,-2.691749572854541,0.007227961138234108,goed verschilletje hiero,82,woow,60
PEOE_VSA14,2.615273008460236,2.6953486418699666,0.0,0.0,-0.31052407104167756,0.7562281506681576,"nope, deze niet",82,nope,60
PEOE_VSA2,7.479174026256885,8.552589252685754,4.9839785209472085,9.430239227468263,-2.684897513032307,0.007376706903137584,goed verschilletje hiero,82,woow,60
